date,year,industry,unemployed,share
2001-12-01,2001,Education and Health,483,0.065447154472
2001-12-01,2001,Government,419,0.056775067751
2001-12-01,2001,Finance,258,0.034959349593
2001-12-01,2001,Self-employed,249,0.033739837398
2001-12-01,2001,Other,277,0.037533875339
2001-12-01,2001,Transportation and Utilities,310,0.042005420054
2001-12-01,2001,Information,275,0.037262872629
2001-12-01,2001,Agriculture,192,0.026016260163
2001-12-01,2001,Mining and Extraction,27,0.003658536585
2002-01-01,2002,Wholesale and Retail Trade,1212,0.140407784986
2002-01-01,2002,Manufacturing,1377,0.159522706209
2002-01-01,2002,Leisure and hospitality,947,0.109708063021
2002-01-01,2002,Business services,1120,0.129749768304
2002-01-01,2002,Construction,1211,0.140291936979
2002-01-01,2002,Education and Health,586,0.067886932345
2002-01-01,2002,Government,486,0.056302131603
2002-01-01,2002,Finance,267,0.030931417980
2002-01-01,2002,Self-employed,263,0.030468025950
2002-01-01,2002,Other,304,0.035217794254
2002-01-01,2002,Transportation and Utilities,368,0.042632066728
2002-01-01,2002,Information,263,0.030468025950
2002-01-01,2002,Agriculture,195,0.022590361446
2002-01-01,2002,Mining and Extraction,33,0.003822984245
2002-02-01,2002,Wholesale and Retail Trade,1264,0.150422468166
2002-02-01,2002,Manufacturing,1296,0.154230631917
2002-02-01,2002,Leisure and hospitality,973,0.115791979055
2002-02-01,2002,Business services,973,0.115791979055
2002-02-01,2002,Construction,1060,0.126145424253
2002-02-01,2002,Education and Health,590,0.070213019160
2002-02-01,2002,Government,508,0.060454599548
2002-02-01,2002,Finance,318,0.037843627276
2002-02-01,2002,Self-employed,250,0.029751279305
2002-02-01,2002,Other,339,0.040342734738
2002-02-01,2002,Transportation and Utilities,331,0.039390693800
2002-02-01,2002,Information,279,0.033202427704
2002-02-01,2002,Agriculture,187,0.022253956920
2002-02-01,2002,Mining and Extraction,35,0.004165179103
2002-03-01,2002,Wholesale and Retail Trade,1269,0.152965284474
2002-03-01,2002,Manufacturing,1367,0.164778206365
2002-03-01,2002,Leisure and hospitality,976,0.117647058824
2002-03-01,2002,Business services,964,0.116200578592
2002-03-01,2002,Construction,1009,0.121624879460
2002-03-01,2002,Education and Health,540,0.065091610415
2002-03-01,2002,Government,477,0.057497589200
2002-03-01,2002,Finance,287,0.034594985535
2002-03-01,2002,Self-employed,217,0.026157184185
2002-03-01,2002,Other,314,0.037849566056
2002-03-01,2002,Transportation and Utilities,313,0.037729026037
2002-03-01,2002,Information,266,0.032063645130
2002-03-01,2002,Agriculture,269,0.032425265188
2002-03-01,2002,Mining and Extraction,28,0.003375120540
2002-04-01,2002,Wholesale and Retail Trade,1222,0.157089600206
2002-04-01,2002,Manufacturing,1322,0.169944722972
2002-04-01,2002,Leisure and hospitality,953,0.122509319964
2002-04-01,2002,Business services,951,0.122252217509
2002-04-01,2002,Construction,855,0.109911299653
2002-04-01,2002,Education and Health,493,0.063375755238
2002-04-01,2002,Government,447,0.057462398766
2002-04-01,2002,Finance,292,0.037536958478
2002-04-01,2002,Self-employed,255,0.032780563054
2002-04-01,2002,Other,268,0.034451729014
2002-04-01,2002,Transportation and Utilities,280,0.035994343746
2002-04-01,2002,Information,257,0.033037665510
2002-04-01,2002,Agriculture,151,0.019411235377
2002-04-01,2002,Mining and Extraction,33,0.004242190513
2002-05-01,2002,Wholesale and Retail Trade,1138,0.152159379596
2002-05-01,2002,Manufacturing,1194,0.159647011633
2002-05-01,2002,Leisure and hospitality,1022,0.136649284664
2002-05-01,2002,Business services,983,0.131434683781
2002-05-01,2002,Construction,626,0.083701029549
2002-05-01,2002,Education and Health,533,0.071266212060
2002-05-01,2002,Government,484,0.064714534029
2002-05-01,2002,Finance,340,0.045460623078
2002-05-01,2002,Self-employed,264,0.035298836743
2002-05-01,2002,Other,264,0.035298836743
2002-05-01,2002,Transportation and Utilities,257,0.034362882738
2002-05-01,2002,Information,260,0.034764005883
2002-05-01,2002,Agriculture,89,0.011899986629
2002-05-01,2002,Mining and Extraction,25,0.003342692873
2002-06-01,2002,Wholesale and Retail Trade,1240,0.156190956040
2002-06-01,2002,Manufacturing,1187,0.149515052274
2002-06-01,2002,Leisure and hospitality,1034,0.130243103665
2002-06-01,2002,Business services,1079,0.135911323844
2002-06-01,2002,Construction,593,0.074694545913
2002-06-01,2002,Education and Health,638,0.080362766091
2002-06-01,2002,Government,561,0.070663811563
2002-06-01,2002,Finance,373,0.046983247260
2002-06-01,2002,Self-employed,246,0.030986270311
2002-06-01,2002,Other,335,0.042196750220
2002-06-01,2002,Transportation and Utilities,274,0.034513162867
2002-06-01,2002,Information,255,0.032119914347
2002-06-01,2002,Agriculture,89,0.011210479909
2002-06-01,2002,Mining and Extraction,35,0.004408615695
2002-07-01,2002,Wholesale and Retail Trade,1132,0.142965395302
2002-07-01,2002,Manufacturing,1185,0.149659004799
2002-07-01,2002,Leisure and hospitality,999,0.126168224299
2002-07-01,2002,Business services,1075,0.135766607729
2002-07-01,2002,Construction,594,0.075018944178
2002-07-01,2002,Education and Health,671,0.084743622127
2002-07-01,2002,Government,645,0.081459964638
2002-07-01,2002,Finance,345,0.043571608992
2002-07-01,2002,Self-employed,249,0.031447335186
2002-07-01,2002,Other,356,0.044960848699
